,fullpath,filename,file_busid,file_id,taglist,route_pattern,tag_busid,route,pattern,wday,StartDateTime,EndDateTime,IndexTripStart,IndexTripStartInCleanData,IndexTripEnd,IndexTripEndInCleanData,SecStart,OdomFtStart,SecEnd,OdomFtEnd,TripDurFromSec,TripDurationFromTags,DistOdomMi,SpeedOdomMPH,SpeedTripTagMPH,CrowFlyDistLatLongMi,LatStart,LongStart,LatEnd,LongEnd,count1
1,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02626191001.txt.zip",rawnav02626191001.txt,2626,02626191001,"988,   H802,2626,09/30/19,08:10:01,44714,05280",   H802,2626.0,H8,02,Monday,2019-09-30 08:10:01,2019-09-30 08:57:48,982,983,2468.0,2467,0,0,2867,32152,2867,0 days 00:47:47.000000000,6.08939393939394,7.646256777753116,7.65,2.072787376013856,38.929962,-77.03237800000001,38.92043,-76.995858,1
2,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02626191001.txt.zip",rawnav02626191001.txt,2626,02626191001,"2475,   H801,2626,09/30/19,08:57:48,44714,05280",   H801,2626.0,H8,01,Monday,2019-09-30 08:57:48,2019-09-30 09:48:11,2469,2470,3956.0,3955,0,0,3023,31052,3023,0 days 00:50:23.000000000,5.881060606060606,7.003578624485009,7.0,2.435970010867683,38.92043,-76.995858,38.931913,-77.038655,1
4,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"3378,   H802,2673,10/21/19,15:19:01,44617,05280",   H802,2673.0,H8,02,Monday,2019-10-21 15:19:01,2019-10-21 16:15:07,3372,3373,4992.0,4991,0,0,3366,30058,3366,0 days 00:56:06.000000000,5.69280303030303,6.088559390698428,6.09,2.434747125909632,38.931952,-77.038697,38.920553,-76.995887,1
5,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"5000,   H801,2673,10/21/19,16:15:08,44617,05280",   H801,2673.0,H8,01,Monday,2019-10-21 16:15:08,2019-10-21 17:06:10,4994,4995,6607.0,6606,0,0,3062,31191,3062,0 days 00:51:02.000000000,5.9073863636363635,6.9453268808265545,6.95,2.4330691350456486,38.920553,-76.995887,38.931927,-77.038675,1
6,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"6614,   H802,2673,10/21/19,17:06:10,44617,05280",   H802,2673.0,H8,02,Monday,2019-10-21 17:06:10,2019-10-21 18:03:14,6608,6609,8181.0,8180,0,0,3424,30013,3424,0 days 00:57:04.000000000,5.684280303030303,5.9764629354290575,5.98,2.434753133796772,38.931927,-77.038675,38.920505,-76.995875,1
7,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"8188,   H801,2673,10/21/19,18:03:14,44617,05280",   H801,2673.0,H8,01,Monday,2019-10-21 18:03:14,2019-10-21 18:58:05,8182,8183,9741.0,9740,0,0,3291,31548,3291,0 days 00:54:51.000000000,5.975,6.536007292616225,6.54,2.3976265339121405,38.920505,-76.995875,38.93108,-77.038308,1
8,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"9748,   H802,2673,10/21/19,18:58:05,44617,05280",   H802,2673.0,H8,02,Monday,2019-10-21 18:58:05,2019-10-21 19:42:57,9742,9743,11075.0,11074,0,0,2692,29682,2692,0 days 00:44:52.000000000,5.6215909090909095,7.517729298932865,7.52,2.3924558125983215,38.931023,-77.038285,38.920607,-76.995888,1
9,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"11082,   H801,2673,10/21/19,19:42:57,44617,05280",   H801,2673.0,H8,01,Monday,2019-10-21 19:42:57,2019-10-21 20:19:23,11076,11077,12410.0,12409,0,0,2186,31193,2186,0 days 00:36:26.000000000,5.907765151515152,9.729164933876737,9.73,2.4329879943833266,38.920607,-76.995888,38.931927,-77.038698,1
10,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"12417,   H802,2673,10/21/19,20:19:24,44617,05280",   H802,2673.0,H8,02,Monday,2019-10-21 20:19:24,2019-10-21 20:53:29,12411,12412,13443.0,13442,0,0,2044,23279,2044,0 days 00:34:05.000000000,4.408901515151515,7.765188578544744,7.76,2.4177334533216563,38.931927,-77.038698,38.933628,-76.99382299999999,1
11,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"13450,   H802,2673,10/21/19,20:54:00,44617,05280",   H802,2673.0,H8,02,Monday,2019-10-21 20:54:00,2019-10-21 21:05:32,13444,13445,13782.0,13781,0,0,692,6742,692,0 days 00:11:32.000000000,1.2768939393939394,6.64280084077772,6.64,0.9123764290609094,38.933628,-76.99382299999999,38.920515,-76.99588,1
12,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"13789,   H801,2673,10/21/19,21:05:32,44617,05280",   H801,2673.0,H8,01,Monday,2019-10-21 21:05:32,2019-10-21 21:40:41,13783,13784,15242.0,15241,1,0,2109,31175,2108,0 days 00:35:09.000000000,5.9043560606060606,10.083340520959117,10.08,2.431558807217491,38.920515,-76.99588,38.931908,-77.03863,1
13,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"15252,   H802,2673,10/21/19,21:47:00,44617,05280",   H802,2673.0,H8,02,Monday,2019-10-21 21:47:00,2019-10-21 22:35:21,15246,15247,16652.0,16651,0,0,2901,27557,2901,0 days 00:48:21.000000000,5.2191287878787875,6.4766851555889815,6.48,2.4298569638410203,38.931908,-77.03863,38.920557,-76.99589499999999,1
14,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"16659,   H801,2673,10/21/19,22:35:21,44617,05280",   H801,2673.0,H8,01,Monday,2019-10-21 22:35:21,2019-10-21 23:08:15,16653,16654,18073.0,18072,0,0,1974,31138,1974,0 days 00:32:54.000000000,5.897348484848485,10.755042829510915,10.76,2.4321365133346973,38.920557,-76.99589499999999,38.931912,-77.038673,1
15,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"18080,   H802,2673,10/21/19,23:08:15,44617,05280",   H802,2673.0,H8,02,Monday,2019-10-21 23:08:15,2019-10-21 23:45:34,18074,18075,19471.0,19470,1,0,2239,29983,2238,0 days 00:37:19.000000000,5.678598484848485,9.134474774555203,9.13,2.432333913547047,38.931912,-77.038673,38.920555,-76.995892,1
16,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"19478,   H801,2673,10/21/19,23:45:35,44617,05280",   H801,2673.0,H8,01,Monday,2019-10-21 23:45:35,2019-10-21 00:20:50,19472,19473,20857.0,20856,0,0,2115,31301,2115,-1 days +00:35:15.000000000,5.9282196969696965,10.090586718246291,-0.25,2.4173243188704974,38.920555,-76.995892,38.931608,-77.03851,1
17,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"20864,   H802,2673,10/22/19,00:20:50,44617,05280",   H802,2673.0,H8,02,Tuesday,2019-10-22 00:20:50,2019-10-22 00:53:00,20858,20859,22147.0,22146,0,0,1930,29830,1930,0 days 00:32:10.000000000,5.649621212121212,10.53815355628827,10.54,2.4162057060528177,38.93155,-77.038488,38.920532,-76.99587700000001,1
18,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02673191022.txt.zip",rawnav02673191022.txt,2673,02673191022,"22154,   H801,2673,10/22/19,00:53:00,44617,05280",   H801,2673.0,H8,01,Tuesday,2019-10-22 00:53:00,2019-10-22 01:24:01,22148,22149,23411.0,23410,0,0,1861,31338,1861,0 days 00:31:01.000000000,5.935227272727273,11.481363880611598,11.48,2.413504562728867,38.920532,-76.99587700000001,38.931562,-77.03843,1
0,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02682191016.txt.zip",rawnav02682191016.txt,2682,02682191016,"9,   H802,2682,10/15/19,08:03:55,44625,05280",   H802,2682.0,H8,02,Tuesday,2019-10-15 08:03:55,2019-10-15 08:50:01,-1,0,1426.0,1425,0,0,2766,31552,2766,0 days 00:46:06.000000000,5.975757575757576,7.7775586669295995,7.78,2.1940137705853653,38.930927,-77.03442,38.92041,-76.995952,1
1,"C:\Users\abibeka\OneDrive - Kittelson & Associates, Inc\Documents\WMATA-AVL\Data\October 2019 Rawnav\Vehicles 0-2999\rawnav02682191016.txt.zip",rawnav02682191016.txt,2682,02682191016,"1437,   H801,2682,10/15/19,08:50:01,44625,05280",   H801,2682.0,H8,01,Tuesday,2019-10-15 08:50:01,2019-10-15 09:23:37,1427,1428,2737.0,2736,0,0,1998,29138,1998,0 days 00:33:36.000000000,5.518560606060606,9.943352443352444,9.85,2.109030833471159,38.92041,-76.995952,38.931023,-77.032697,1
